2026-03-25 09:51:40 [TestNG-test-Release 1.0 Testing for AE-4] INFO  [qa] [Test_AE9_TC13_Verify_Subscription_Home_Page] framework.listeners.TestListener - -----------------  STARTING TEST : Test_AE9_TC13_Verify_Subscription_Home_Page  -----------------
2026-03-25 09:51:40 [TestNG-test-Release 1.0 Testing for AE-4] INFO  [qa] [Test_AE9_TC13_Verify_Subscription_Home_Page] test.ae.AddToCartTests - Running:Step-1
2026-03-25 09:51:45 [TestNG-test-Release 1.0 Testing for AE-4] INFO  [qa] [Test_AE9_TC13_Verify_Subscription_Home_Page] test.ae.AddToCartTests - Running:Step-2
2026-03-25 09:51:45 [TestNG-test-Release 1.0 Testing for AE-4] WARN  [qa] [Test_AE9_TC13_Verify_Subscription_Home_Page] pages.ae.ProductsPage - Multiple matching products found for - Stylish, hence choosing the first match found.
2026-03-25 09:51:48 [TestNG-test-Release 1.0 Testing for AE-4] WARN  [qa] [Test_AE9_TC13_Verify_Subscription_Home_Page] pages.ae.ProductsPage - Multiple matching products found for - Summer White Top, hence choosing the first match found.
2026-03-25 09:51:50 [TestNG-test-Release 1.0 Testing for AE-4] WARN  [qa] [Test_AE9_TC13_Verify_Subscription_Home_Page] pages.ae.ProductsPage - Multiple matching products found for - Blue Top, hence choosing the first match found.
2026-03-25 09:51:52 [TestNG-test-Release 1.0 Testing for AE-4] INFO  [qa] [Test_AE9_TC13_Verify_Subscription_Home_Page] test.ae.AddToCartTests - Running:Step-3
2026-03-25 09:51:53 [TestNG-test-Release 1.0 Testing for AE-4] WARN  [qa] [Test_AE9_TC13_Verify_Subscription_Home_Page] pages.ae.ProductsPage - Multiple matching products found for - Sleeveless, hence choosing the first match found.
2026-03-25 09:51:56 [TestNG-test-Release 1.0 Testing for AE-4] INFO  [qa] [Test_AE9_TC13_Verify_Subscription_Home_Page] test.ae.AddToCartTests - Running:Step-4
2026-03-25 09:52:04 [TestNG-test-Release 1.0 Testing for AE-4] INFO  [qa] [Test_AE9_TC13_Verify_Subscription_Home_Page] framework.listeners.TestListener - {TEST PASSED: Test_AE9_TC13_Verify_Subscription_Home_Page
2026-03-25 09:52:05 [TestNG-test-Release 1.0 Testing for AE-4] ERROR [qa] [Test_AE9_TC13_Verify_Subscription_Home_Page] io.qameta.allure.AllureLifecycle - Could not add attachment: no test is running
2026-03-25 09:52:05 [TestNG-test-Release 1.0 Testing for AE-4] INFO  [qa] [Test_AE9_TC13_Verify_Subscription_Home_Page] framework.listeners.TestListener - Screenshot attached: PASSED Screenshot:
