"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Home","2","Home Page for Users","0","0","Home Page - Usability with Scroll","0"
"0","Signup","0","User Invalid Registration","1","0","Signup using existing email","0"
"0","Product Search","0","Product Search Page for Products","1","0","Products can be searched with filter - brand","0"
"0","Signup","0","User Registration","1","0","Signup using Valid Credentials","0"
"0","Place Order","0","Order Placement through Cart Checkout","5","0","Order Placements for Customers","0"
"0","Product Search","0","Product Search Page for Products","1","0","Products can be searched and provided a review","0"
"0","Login","0","User Login","3","0","Login using Valid Credentials","0"
"0","Test Cases","0","Test Cases Page for Web App Functionality Tests","1","0","Test Cases Page for Web App is available for view","0"
"0","Product Search","0","Product Search Page for Products","2","0","Products can be searched and viewed in detail","0"
"0","Add To Cart","0","Carts can be updated","1","0","Remove products in Cart","0"
"0","Add To Cart","0","Carts can be updated","3","0","Add products in Cart","0"
"0","Subscription","1","Users can subscribe to the portal","0","0","Subscription can be made via Home Page","0"
"0","Add To Cart","0","Carts can be updated","1","0","Update products in Cart","0"
"0","Contact Us","0","Contact Us Form","1","0","Contact Us Form can be submitted","0"
"0","Subscription","0","Users can subscribe to the portal","1","0","Subscription can be made via Cart Page","0"
"0","Product Search","0","Product Search Page for Products","1","0","Products can be searched with filter - category","0"
